,id,colour,vehicle,nums
123,507853,თეთრი,NISSAN X-TRAIL,
124,507874,ლურჯი,MAZDA MPV,4/8
125,507874,, ვერცხლისფერი mazda,
126,510259,წითელი,TOYOTA PRIUS,6/8
127,510245,ყვითელი,BOGDAN A 0921,4/8
128,526031,შავი,ROVER 75,
129,526031,რუხი,TOYOTA RAV4,1/8
130,510295,თეთრი,MERCEDES-BENZ VITO 109 CDI,
131,507684,შავი,ROVER 75,
132,507684,რუხი,TOYOTA RAV4,1/8
133,507854,შავი,OPEL CORSA,
134,507875,ლურჯი,MERCEDES-BENZ E 230,8/8
135,507875,რუხი,VOLKSWAGEN POLO 1.4,1/8
136,507953,ლურჯი,BMW 323 I,7/8
137,507953,თეთრი,FORD TRANSIT,
138,508471,თეთრი,VOLKSWAGEN VENTO CL 1.6,
139,507818,თეთრი,MITSUBISHI I-MIEV,
140,507997,ლურჯი,OPEL OMEGA B,
141,508134,რუხი,MERCEDES-BENZ 500 SL,1/8
142,508241,წითელი,HONDA CR-V,6/8
143,510309,თეთრი,MERCEDES-BENZ 0403,
144,510309,რუხი,TOYOTA PRIUS,7/8
145,507947,თეთრი,TOYOTA RACTIS,
146,507973,რუხი,NISSAN WINGROAD,5/8
147,507986,ლურჯი,MERCEDES-BENZ C 200 KOMPRESSOR,8/8
148,507986,რუხი,SKODA FABIA,1/8
149,508109,შავი,INFINITI JX35,
150,508109,რუხი,TOYOTA PRIUS,1/8
151,509082,შავი,AUDI A8,
152,509082,რუხი,RENAULT DUSTER,1/8
153,510314,შავი,MERCEDES-BENZ C 200 KOMPRESSOR,
154,510314,შავი,TOYOTA PRIUS,
155,510331,თეთრი,FIAT DUCATO,
156,508031,თეთრი,TOYOTA IST,
157,508401,რუხი,MERCEDES-BENZ C 180,1/8
158,508626,თეთრი,MERCEDES-BENZ VIANO,
159,513361,რუხი,TOYOTA PRIUS,1/8
160,508090,თეთრი,MITSUBISHI L200,
161,508118,რუხი,MERCEDES-BENZ CLK 200,1/8
162,509132,რუხი,VOLKSWAGEN POLO 1.4,6/8
163,508472,რუხი,OPEL ASTRA G CARAVAN,1/8
164,508115,რუხი,OPEL ASTRA G CARAVAN,1/8
165,508044,რუხი,VOLKSWAGEN POLO 1.4,6/8
166,509867,შავი,BMW 525 I,
167,509867,რუხი,HONDA FIT,4/8
168,510395,რუხი,MERCEDES-BENZ SL 500,1/8
169,510395,თეთრი,TOYOTA CAMRY,
170,508106,მწვანე,OPEL ASTRA G,8/8
171,508237,რუხი,NISSAN SKYLINE,1/8
172,509846,თეთრი,TOYOTA PRIUS,
173,509850,წითელი,HONDA NAVI,5/8
174,509850,მწვანე,ISUZU AXIOM,7/8
175,508080,შავი,MITSUBISHI MONTERO LIMITED,
176,508080,მწვანე,SUZUKI GRAND VITARA,7/8
177,509035,ლურჯი,FORD ESCORT 1.4 C,3/8
178,508022,რუხი,MAZDA MPV,1/8
179,508489,თეთრი,FORD TRANSIT,
180,508413,ყვითელი,FREIGHTLINER CASCADIA 125,6/8
181,508410,რუხი,BMW 323 I,1/8
182,508410,თეთრი,MERCEDES-BENZ ATEGO 1017,
183,508414,რუხი,OPEL ASTRA,8/8
184,508414,წითელი,TOYOTA PRIUS,6/8
185,510403,მწვანე,VAZ 2108,4/8
186,508411,შავი,PEUGEOT 206,
187,510600,რუხი,SUBARU FORESTER,1/8
188,508521,რუხი,HONDA HR-V 1.6,5/8
189,511238,თეთრი,FIAT DUCATO,
190,508722,რუხი,MITSUBISHI COLT PLUS,1/8
191,509095,იისფერი,VAZ 21213,8/8
192,510754,შავი,BMW 535 XI,
193,508947,რუხი,MERCEDES-BENZ E 220 CDI,1/8
194,508947,თეთრი,SUZUKI CARRY,
195,510679,,DODGE,
196,510679,შავი,HONDA FIT,
197,510679,შავი,MERCEDES-BENZ ML 320,
198,510679,შავი,NISSAN MURANO,
199,508731,თეთრი,BMW 525 I,
200,508731,შავი,NISSAN MARCH,
201,508731,თეთრი,TOYOTA CAMRY,
202,508731,რუხი,TOYOTA VITZ,1/8
203,508753,ყავისფერი,RAF 2203,2/8
204,508753,თეთრი,TOYOTA PRIUS,
205,508753,ყავისფერი,VAZ 2105,2/8
206,509015,მწვანე,VOLKSWAGEN GOLF,8/8
207,510672,შავი,CHEVROLET CAMARO,
208,510672,შავი,LEXUS LS 460 L,
209,510672,ლურჯი,MERCEDES-BENZ E 280,8/8
210,510672,ყავისფერი,NISSAN TEANA,1/8
211,508854,ყვითელი,MERCEDES-BENZ 313 CDI,6/8
212,510751,შავი,TOYOTA LANDCRUISER PRADO 2.7,
213,510660,მწვანე,OPEL ASTRA,8/8
214,511302,ლურჯი,BMW 323 I,4/8
215,511302,ლურჯი,MERCEDES-BENZ SPRINTER,8/8
216,511302,ლურჯი,NISSAN TIIDA,8/8
217,508851,რუხი,MERCEDES-BENZ CLK 200 KOMPRESSOR COUPE,1/8
218,508851,ლურჯი,MITSUBISHI PAJERO IO,7/8
219,509076,ყვითელი,BOGDAN A 09201,5/8
220,509076,მწვანე,OPEL CORSA 1.4I SWING,4/8
221,509263,ლურჯი,FORD TRANSIT,6/8
222,509792,მწვანე,BMW 316 I COMPACT,7/8
223,509188,თეთრი,FORD TRANSIT BUS,
224,509150,რუხი,NISSAN SERENA,1/8
225,509093,თეთრი,RENAULT KANGOO 1.4,
226,510720,მწვანე,VOLKSWAGEN VENTO CL 1.6,7/8
